TIF,施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,回答数順位,回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,
石川県,金沢中央観光案内所,902,30,28,0.071428571,2,10,4.392510402,3.266666667,4.408854167,3.666666667,4.584158416,4.366666667,8.074279379,413,174,0.264966741,13,5,0.266666667,0.029933481,0.186252772,0.202882483,0.179600887,0.237250554,0.137472284,0.026607539,0,0,0,0.337028825,0.630820399,0.344789357,0.333702883,0.100886918,0.119733925,0.100886918,0.195121951,0.11308204,0.128603104,0.252771619,0.003325942,0.001108647,0.118625277,0.014412417,0.066518847,0.015521064,0.001108647,0,0.187361419,0.130820399,0.662971175,0.094235033,0,0,0,0.070953437,0,0,0,0,0,0,0.009977827,0,0.034368071,0.072062084,0.034368071,0.068736142,0.129711752,0.126385809,0.10864745,0.086474501,0.057649667,0.055432373,0.064301552,0.093126386,0.038802661,0.064301552,0.011086475,0.003325942,0.007760532,0.015521064,0.002217295,0.007760532,0.003325942,0.022172949,0.013303769,0.009977827,0.05210643,0.050997783,0.227272727,0.093126386,0.011086475,0.026607539,0.050997783,0.005543237,0.002217295,0.006651885,0.016629712,0.025498891,0.062084257,0.00886918,0.00886918,0.039911308,0.094235033,0.038802661,0.014412417,0.007760532,0.001108647,0.002217295,0.006651885,0.005543237,0.002217295,0.001108647,0.003325942,0.002217295,0.002217295,0.013303769,0.002217295,0.001108647,0.006651885,0.003325942,0.002217295,0.002217295,0.002217295,
石川県,長町武家屋敷休憩館,90,3,4,-0.25,28,33,4.415584416,4.333333333,4.43902439,4.333333333,4.555555556,4.666666667,8.333333333,46,13,0.366666667,1,1,0,0.044444444,0.155555556,0.155555556,0.233333333,0.166666667,0.2,0.044444444,0,0,0,0.388888889,0.6,0.333333333,0.322222222,0.177777778,0.111111111,0.055555556,0.1,0.144444444,0.111111111,0.388888889,0,0,0.122222222,0.022222222,0.033333333,0,0,0,0.211111111,0.211111111,0.622222222,0.088888889,0,0,0,0.011111111,0,0,0,0,0,0,0,0,0.022222222,0.066666667,0.022222222,0.066666667,0.122222222,0.111111111,0.133333333,0.1,0.055555556,0.066666667,0.088888889,0.088888889,0.044444444,0.033333333,0.044444444,0.022222222,0,0,0,0,0,0,0,0.077777778,0.044444444,0.1,0.211111111,0.111111111,0.022222222,0.022222222,0.033333333,0,0,0.011111111,0.033333333,0,0.1,0,0,0.022222222,0.033333333,0.044444444,0.022222222,0,0.011111111,0,0,0.011111111,0,0,0,0,0,0.011111111,0.011111111,0,0,0,0,0,0,
石川県,西茶屋資料館,66,0,1,-1,38,51,4.410714286,,4.440677966,,4.527777778,,7.166666667,18,21,-0.045454545,0,0,,0,0.166666667,0.272727273,0.121212121,0.303030303,0.136363636,0,0,0,0,0.333333333,0.636363636,0.287878788,0.439393939,0.136363636,0.045454545,0.090909091,0.166666667,0.075757576,0.106060606,0.409090909,0,0,0.121212121,0.015151515,0.045454545,0.045454545,0,0,0.196969697,0.151515152,0.712121212,0.075757576,0,0,0,0.015151515,0,0,0,0,0,0,0.015151515,0,0.015151515,0.015151515,0.03030303,0.106060606,0.060606061,0.106060606,0.151515152,0.045454545,0.045454545,0.03030303,0.106060606,0.151515152,0.090909091,0.060606061,0,0,0,0,0,0.015151515,0,0,0.045454545,0,0.090909091,0.090909091,0.318181818,0.060606061,0.045454545,0.015151515,0.015151515,0.03030303,0.015151515,0,0,0,0.045454545,0,0.03030303,0.045454545,0.045454545,0.045454545,0.015151515,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,
石川県,ひがし茶屋休憩館,88,1,1,0,29,41,4.580246914,4,4.588235294,5,4.719298246,5,8.522727273,49,9,0.454545455,0,0,0,0.034090909,0.238636364,0.181818182,0.215909091,0.272727273,0.056818182,0,0,0,0,0.352272727,0.647727273,0.306818182,0.420454546,0.045454545,0.102272727,0.125,0.170454546,0.136363636,0.159090909,0.238636364,0.011363636,0,0.147727273,0,0.056818182,0.011363636,0,0,0.227272727,0.193181818,0.784090909,0.079545455,0,0,0,0.011363636,0,0,0,0,0,0,0,0,0.022727273,0.090909091,0.034090909,0.079545455,0.090909091,0.193181818,0.056818182,0.079545455,0.079545455,0.034090909,0.090909091,0.068181818,0.045454545,0.056818182,0.022727273,0,0,0,0,0.011363636,0,0.022727273,0,0.011363636,0.056818182,0.068181818,0.181818182,0.136363636,0.034090909,0.011363636,0.022727273,0.011363636,0.011363636,0.022727273,0.011363636,0.034090909,0.068181818,0,0.011363636,0.034090909,0.113636364,0.011363636,0.011363636,0,0,0,0,0.045454545,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0.011363636,
石川県,石川県政記念しいのき迎賓館,84,14,2,6,30,18,4.464788732,4,4.481012658,4.285714286,4.608695652,4.642857143,8.154761905,38,14,0.285714286,8,2,0.428571429,0,0.166666667,0.166666667,0.202380952,0.261904762,0.190476191,0.011904762,0,0,0,0.345238095,0.630952381,0.30952381,0.238095238,0.130952381,0.107142857,0.214285714,0.166666667,0.107142857,0.178571429,0.297619048,0,0,0.047619048,0.023809524,0.119047619,0,0,0,0.190476191,0.214285714,0.607142857,0.107142857,0,0,0,0.166666667,0,0,0,0,0,0,0.035714286,0,0.095238095,0.05952381,0.023809524,0.071428571,0.107142857,0.071428571,0.095238095,0.107142857,0.083333333,0.071428571,0.083333333,0.095238095,0.023809524,0.107142857,0.011904762,0,0,0,0.011904762,0,0,0.011904762,0,0.035714286,0.05952381,0,0.130952381,0.05952381,0.011904762,0.083333333,0.261904762,0,0,0,0,0,0.05952381,0.011904762,0,0.05952381,0.107142857,0.023809524,0,0,0,0,0.023809524,0.011904762,0,0,0.011904762,0,0,0.011904762,0,0,0,0,0,0,0,
石川県,石川県立図書館,958,8,0,,1,24,4.650057937,4.125,4.701475596,4.625,4.601760176,4,8.618997912,597,112,0.506263048,5,1,0.5,0.041753653,0.207724426,0.16388309,0.200417537,0.218162839,0.137787056,0.020876827,0.007306889,0.001043841,0.001043841,0.365344468,0.605427975,0.272442589,0.260960334,0.102296451,0.128392484,0.235908142,0.191022965,0.075156576,0.146137787,0.169102297,0.008350731,0,0.111691023,0.011482255,0.129436326,0.052192067,0,0,0.16388309,0.115866388,0.460334029,0.022964509,0,0,0,0.064718163,0,0,0,0,0,0,0.03131524,0,0.039665971,0.064718163,0.032359081,0.065762004,0.10125261,0.11691023,0.139874739,0.08559499,0.065762004,0.080375783,0.057411273,0.090814196,0.049060543,0.050104384,0.022964509,0.002087683,0.001043841,0.006263048,0.001043841,0,0.006263048,0.008350731,0.010438413,0.008350731,0.054279749,0.029227557,0.1565762,0.090814196,0.018789144,0.065762004,0.175365345,0.025052192,0.001043841,0.025052192,0.021920668,0.020876827,0.056367432,0.011482255,0.010438413,0.022964509,0.059498956,0.034446764,0.005219207,0.002087683,0,0.004175365,0.005219207,0.008350731,0,0.001043841,0.001043841,0.002087683,0,0.007306889,0.006263048,0.004175365,0.001043841,0.003131524,0,0.002087683,0,
石川県,石川県立歴史博物館,371,39,32,0.21875,9,7,4.504424779,4.358974359,4.552023121,4.358974359,4.580060423,4.487179487,8.226415094,174,59,0.309973046,18,3,0.384615385,0.032345013,0.239892183,0.153638814,0.169811321,0.196765499,0.15902965,0.04851752,0,0,0,0.46361186,0.509433962,0.323450135,0.315363881,0.099730458,0.088948787,0.172506739,0.253369272,0.121293801,0.123989218,0.266846361,0.005390836,0,0.088948787,0.016172507,0.029649596,0.002695418,0,0,0.167115903,0.118598383,0.541778976,0.094339623,0,0,0,0.051212938,0,0,0,0,0,0,0.016172507,0,0.051212938,0.04851752,0.053908356,0.086253369,0.132075472,0.132075472,0.091644205,0.067385445,0.043126685,0.051212938,0.064690027,0.080862534,0.051212938,0.09703504,0.013477089,0.002695418,0.002695418,0,0.005390836,0.005390836,0,0.016172507,0.005390836,0.021563342,0.04851752,0.051212938,0.191374663,0.099730458,0.005390836,0.043126685,0.105121294,0.010781671,0.010781671,0.02425876,0.010781671,0.026954178,0.070080863,0.013477089,0.018867925,0.035040431,0.080862534,0.035040431,0.010781671,0.005390836,0,0,0.005390836,0,0,0,0.010781671,0,0,0.008086253,0,0,0,0,0,0,0.005390836,
石川県,石川県立美術館,133,0,0,,21,52,4.369369369,,4.475,,4.474576271,,7.954887218,58,25,0.248120301,0,0,,0,0.180451128,0.187969925,0.195488722,0.240601504,0.165413534,0.030075188,0,0,0,0.390977444,0.593984962,0.360902256,0.172932331,0.082706767,0.097744361,0.285714286,0.270676692,0.105263158,0.097744361,0.308270677,0.007518797,0,0.090225564,0.007518797,0.037593985,0.030075188,0,0,0.165413534,0.120300752,0.511278196,0.07518797,0,0,0,0.030075188,0,0,0,0,0,0,0.015037594,0,0.007518797,0.030075188,0.037593985,0.105263158,0.105263158,0.112781955,0.082706767,0.112781955,0.105263158,0.045112782,0.07518797,0.097744361,0.045112782,0.045112782,0.022556391,0,0,0,0,0,0.007518797,0.030075188,0.007518797,0.007518797,0.015037594,0.015037594,0.165413534,0.097744361,0.015037594,0.082706767,0.180451128,0.037593985,0,0.037593985,0.022556391,0.007518797,0.022556391,0.015037594,0.022556391,0.022556391,0.030075188,0.037593985,0.037593985,0,0.022556391,0,0.007518797,0.007518797,0.007518797,0,0,0,0,0.007518797,0,0,0,0,0,0,0.007518797,
石川県,からくり記念館,47,0,0,,49,53,4.511627907,,4.466666667,,4.514285714,,8.212765957,20,5,0.319148936,0,0,,0.021276596,0.127659575,0.234042553,0.29787234,0.127659575,0.14893617,0.042553191,0,0,0,0.531914894,0.468085106,0.276595745,0.361702128,0.042553191,0.14893617,0.170212766,0.127659575,0.085106383,0.106382979,0.234042553,0,0,0.063829787,0.021276596,0.212765957,0.063829787,0,0,0.085106383,0.276595745,0.489361702,0.063829787,0,0,0,0.085106383,0,0,0,0,0,0,0.085106383,0,0.042553191,0,0,0.106382979,0.106382979,0.085106383,0.063829787,0.106382979,0.106382979,0.063829787,0.085106383,0.170212766,0.063829787,0.042553191,0.021276596,0,0,0,0,0,0,0,0,0,0.042553191,0.021276596,0.063829787,0.021276596,0.042553191,0.085106383,0.085106383,0,0,0.042553191,0.042553191,0.021276596,0.042553191,0.085106383,0.021276596,0.063829787,0.14893617,0.042553191,0,0,0,0.021276596,0,0.042553191,0,0,0,0,0,0,0,0,0,0.021276596,0.021276596,0,0,
石川県,ホテル・トリフィート金沢,139,1,0,,20,42,4.597014925,5,4.591240876,5,4.660550459,5,8.71942446,83,11,0.517985612,1,0,1,0.007194245,0.18705036,0.223021583,0.151079137,0.26618705,0.143884892,0.021582734,0,0,0,0.338129496,0.647482014,0.410071942,0.474820144,0.057553957,0.057553957,0,0.09352518,0.136690648,0.122302158,0.244604317,0,0,0.136690648,0.028776978,0.043165468,0.021582734,0,0,0.194244604,0.09352518,0.705035971,0.057553957,0,0,0,0.014388489,0,0,0,0,0,0,0,0,0.071942446,0.014388489,0.021582734,0.064748201,0.151079137,0.115107914,0.107913669,0.050359712,0.057553957,0.057553957,0.086330935,0.151079137,0.057553957,0.064748201,0.021582734,0.014388489,0,0.007194245,0,0,0.014388489,0,0.014388489,0.021582734,0.100719425,0.071942446,0.26618705,0.100719425,0.021582734,0,0.057553957,0,0,0,0.021582734,0.035971223,0.050359712,0.007194245,0.007194245,0.014388489,0.071942446,0.014388489,0,0,0,0.014388489,0.007194245,0.021582734,0,0,0,0,0,0.007194245,0,0,0.007194245,0.007194245,0,0,0,
